type,value,slug,description,parentSlug,parentType,isActive,sortOrder,metadataJson
SKILL,Data Cleaning in Clinical Trials,data-cleaning-clinical-trials,Identification and correction of inconsistencies in clinical datasets,,,true,28,
SKILL,Document Management Systems,document-management-systems,Use of systems for indexing storing and retrieving research documents,,,true,29,
SKILL,Document Indexing and Scanning,document-indexing-scanning,Organizing scanning and indexing clinical research documents,,,true,30,
SKILL,Scientific Keyword Identification,scientific-keyword-identification,Identification of relevant keywords for literature search and indexing,,,true,31,
SKILL,Quality Control in Research,quality-control-research,Quality assurance and compliance with SOPs in research workflows,,,true,32,
SKILL,SOP Compliance,sop-compliance,Following standard operating procedures in research and laboratory environments,,,true,33,
SKILL,Polymerase Chain Reaction,pcr-technique,Amplification of DNA using PCR methods,,,true,34,
SKILL,Gel Electrophoresis,gel-electrophoresis,Separation and analysis of nucleic acids or proteins using gel electrophoresis,,,true,35,
SKILL,SDS-PAGE,sds-page,Protein separation using sodium dodecyl sulfate polyacrylamide gel electrophoresis,,,true,36,
SKILL,Western Blotting,western-blotting,Protein detection using antibody-based blotting techniques,,,true,37,
SKILL,Cell Culture Techniques,cell-culture-techniques,Maintenance and experimentation with cultured cells,,,true,38,
SKILL,MTT Assay,mtt-assay,Cell viability assay used in cytotoxicity studies,,,true,39,
SKILL,Flow Cytometry,flow-cytometry,Analysis of cell populations using flow cytometric techniques,,,true,40,
SKILL,Mitochondrial Membrane Potential Assay,mmp-assay,Assessment of mitochondrial membrane potential in cell biology studies,,,true,41,
SKILL,UV Visible Spectroscopy,uv-visible-spectroscopy,Measurement of absorbance spectra for biochemical analysis,,,true,42,
SKILL,Fluorescence Spectroscopy,fluorescence-spectroscopy,Analysis of fluorescence emission for biomolecular studies,,,true,43,
SKILL,Fluorescence Microscopy,fluorescence-microscopy,Visualization of fluorescently labeled samples using microscopy,,,true,44,
SKILL,R Statistical Programming,r-statistical-programming,Statistical analysis and data visualization using R,,,true,45,
SKILL,SPSS Statistical Analysis,spss-statistical-analysis,Statistical analysis of research data using SPSS software,,,true,46,
SKILL,GraphPad Prism Analysis,graphpad-prism-analysis,Scientific data analysis and graph generation using GraphPad Prism,,,true,47,
SKILL,Molecular Docking,molecular-docking,Computational modeling of ligand-receptor interactions,,,true,48,
SKILL,Drug DNA Interaction Studies,drug-dna-interaction-studies,Analysis of binding interactions between drugs and DNA,,,true,49,
SKILL,IC50 Determination,ic50-determination,Determination of half maximal inhibitory concentration in drug studies,,,true,50,
SKILL,Kd Determination,kd-determination,Determination of dissociation constant for molecular binding studies,,,true,51,
SKILL,Aseptic Techniques,aseptic-techniques,Maintaining sterile conditions in laboratory experiments,,,true,52,
SKILL,DNA Isolation,dna-isolation,Extraction and purification of DNA from biological samples,,,true,53,
SKILL,Protein Extraction,protein-extraction,Isolation of proteins from biological samples for analysis,,,true,54,
SKILL,Protein Quantification,protein-quantification,Measurement of protein concentration using biochemical assays,,,true,55,
SKILL,Chromatography Techniques,chromatography-techniques,Separation and analysis of biomolecules using chromatography,,,true,56,
SKILL,Scientific Data Interpretation,data-interpretation-scientific,Interpretation and reporting of experimental data,,,true,57,
SKILL,Scientific Documentation,scientific-documentation,Preparation and maintenance of accurate scientific records,,,true,58,
SKILL,Analytical Thinking,analytical-thinking,Ability to evaluate scientific data and identify patterns,,,true,59,
SKILL,Attention to Detail,attention-to-detail,Ensuring accuracy and completeness in research and documentation,,,true,60,
SKILL,Problem Solving,problem-solving-research,Resolving experimental and data related challenges,,,true,61,
SKILL,Time Management,time-management-research,Managing multiple research tasks efficiently within timelines,,,true,62,
SKILL,Team Collaboration,team-collaboration-research,Working effectively within multidisciplinary research teams,,,true,63,
SKILL,Adaptability and Quick Learning,adaptability-quick-learning,Ability to rapidly learn new research tools and methodologies,,,true,64,
